timestamp bid bidsize ask asksize
1516573201973763.0 1225950 250000 1226190 1000000
1516573201973774.0 1225990 1000000 1226190 1000000
1516573202318504.0 1225990 1000000 1226200 1000000
1516573202318511.0 1226000 1000000 1226200 1000000
1516573217539982.0 1225960 250000 1227300 1000000
1516573218095059.0 1225960 250000 1226410 1000000
1516573219345966.0 1224860 1000000 1226410 1000000
1516573219346092.0 1225950 250000 1226410 1000000
1516573227119246.0 1224860 1000000 1226410 1000000
1516573231070257.0 1225950 250000 1226410 1000000
1516573232078978.0 1224860 1000000 1226410 1000000
1516573232079058.0 1225940 250000 1226410 1000000
1516573232091176.0 1224860 1000000 1226410 1000000
1516573232091250.0 1225930 250000 1226410 1000000
1516573241974008.0 1226000 1000000 1226210 1000000
1516573241974014.0 1226010 1000000 1226210 1000000
1516573241983513.0 1224860 1000000 1226410 1000000
1516573241983649.0 1225940 250000 1226410 1000000
1516573241995436.0 1224860 1000000 1226410 1000000
1516573241995506.0 1225930 250000 1226410 1000000
1516573242007133.0 1224860 1000000 1226410 1000000
1516573242007201.0 1225940 250000 1226410 1000000
1516573243572642.0 1224860 1000000 1226410 1000000
1516573243572750.0 1225930 250000 1226410 1000000
1516573243596513.0 1224860 1000000 1226410 1000000
1516573243596581.0 1225940 250000 1226410 1000000
1516573251070655.0 1224860 1000000 1226410 1000000
1516573254272532.0 1225940 250000 1226410 1000000
1516573259598597.0 1224860 1000000 1226410 1000000
1516573259598728.0 1225950 250000 1226410 1000000
1516573261592165.0 1224860 1000000 1226410 1000000
1516573261592304.0 1225930 250000 1226410 1000000
1516573267317071.0 1224860 1000000 1226410 1000000
1516573267317171.0 1225980 250000 1226410 1000000
1516573270509502.0 1224860 1000000 1226410 1000000
1516573270509638.0 1225970 250000 1226410 1000000
1516573274272529.0 1225920 2000000 1226410 1000000
1516573281973759.0 1226010 1000000 1226200 1000000
1516573281973766.0 1226000 1000000 1226200 1000000
1516573283096984.0 1225950 250000 1226410 1000000
1516573283108061.0 1225920 2000000 1226410 1000000
1516573283108142.0 1225960 250000 1226410 1000000
1516573285592158.0 1225920 2000000 1226410 1000000
1516573285592300.0 1225950 250000 1226410 1000000
1516573285845892.0 1225920 2000000 1226410 1000000
1516573285845968.0 1225940 250000 1226410 1000000
1516573295183192.0 1225920 2000000 1226410 1000000
1516573295183319.0 1225930 250000 1226410 1000000
1516573295207838.0 1225920 2000000 1226410 1000000
1516573295207918.0 1225940 250000 1226410 1000000
1516573295219485.0 1225920 2000000 1226410 1000000
1516573295219561.0 1225930 250000 1226410 1000000
1516573296686398.0 1225920 2000000 1226410 1000000
1516573296686524.0 1225940 250000 1226410 1000000
1516573303097225.0 1225920 2000000 1226410 1000000
1516573308082675.0 1225930 250000 1226410 1000000
1516573311600102.0 1225920 2000000 1226410 1000000
1516573311600202.0 1225950 250000 1226410 1000000
1516573314018344.0 1225920 2000000 1226410 1000000
1516573314018439.0 1225930 250000 1226410 1000000
1516573320035759.0 1226000 1000000 1226180 1000000
1516573320035765.0 1225980 1000000 1226180 1000000
